,_id,year,make,model,code
53,{'$oid': '5f96f09c8ba96e2546164337'},2006,Acura,RL,c5270
54,{'$oid': '5f96f09d8ba96e2546164338'},2005,Acura,RL,c1053
55,{'$oid': '5f96f09d8ba96e2546164339'},2004,Acura,RL,c1059
56,{'$oid': '5f96f09d8ba96e254616433a'},2003,Acura,RL,c1066
57,{'$oid': '5f96f09d8ba96e254616433b'},2002,Acura,RL,c1071
58,{'$oid': '5f96f09e8ba96e254616433c'},2000,Acura,RL,c1082
59,{'$oid': '5f96f09e8ba96e254616433d'},2020,Acura,RLX,c29629
60,{'$oid': '5f96f09e8ba96e254616433e'},2019,Acura,RLX,c28153
61,{'$oid': '5f96f09e8ba96e254616433f'},2018,Acura,RLX,c27137
62,{'$oid': '5f96f09f8ba96e2546164340'},2017,Acura,RLX,c26265
63,{'$oid': '5f96f09f8ba96e2546164341'},2016,Acura,RLX,c24837
64,{'$oid': '5f96f09f8ba96e2546164342'},2015,Acura,RLX,c24553
65,{'$oid': '5f96f09f8ba96e2546164343'},2014,Acura,RLX,c23896
66,{'$oid': '5f96f0a08ba96e2546164344'},2020,Acura,RLX Hybrid Sport,c29630
67,{'$oid': '5f96f0a08ba96e2546164345'},2019,Acura,RLX Hybrid Sport,c29415
68,{'$oid': '5f96f0a08ba96e2546164346'},2018,Acura,RLX Hybrid Sport,c29414
69,{'$oid': '5f96f0a08ba96e2546164347'},2017,Acura,RLX Hybrid Sport,c29413
70,{'$oid': '5f96f0a18ba96e2546164348'},2016,Acura,RLX Hybrid Sport,c29412
71,{'$oid': '5f96f0a18ba96e2546164349'},2014,Acura,RLX Hybrid Sport,c29410
72,{'$oid': '5f96f0a18ba96e254616434a'},2006,Acura,RSX,c5271
73,{'$oid': '5f96f0a28ba96e254616434b'},2005,Acura,RSX,c1054
74,{'$oid': '5f96f0a28ba96e254616434c'},2004,Acura,RSX,c1060
75,{'$oid': '5f96f0a28ba96e254616434d'},2003,Acura,RSX,c35
76,{'$oid': '5f96f0a28ba96e254616434e'},2002,Acura,RSX,c1072
77,{'$oid': '5f96f0a38ba96e254616434f'},2014,Acura,TL,c24082
78,{'$oid': '5f96f0a38ba96e2546164350'},2013,Acura,TL,c23616
79,{'$oid': '5f96f0a38ba96e2546164351'},2012,Acura,TL,c22840
80,{'$oid': '5f96f0a38ba96e2546164352'},2011,Acura,TL,c22361
81,{'$oid': '5f96f0a48ba96e2546164353'},2010,Acura,TL,c21849
82,{'$oid': '5f96f0a48ba96e2546164354'},2009,Acura,TL,c21257
83,{'$oid': '5f96f0a48ba96e2546164355'},2008,Acura,TL,c8324
84,{'$oid': '5f96f0a48ba96e2546164356'},2007,Acura,TL,c7391
85,{'$oid': '5f96f0a58ba96e2546164357'},2006,Acura,TL,c5272
86,{'$oid': '5f96f0a58ba96e2546164358'},2005,Acura,TL,c1055
87,{'$oid': '5f96f0a58ba96e2546164359'},2004,Acura,TL,c1061
88,{'$oid': '5f96f0a58ba96e254616435a'},2003,Acura,TL,c1067
89,{'$oid': '5f96f0a68ba96e254616435b'},2002,Acura,TL,c1073
90,{'$oid': '5f96f0a68ba96e254616435c'},2001,Acura,TL,c1079
91,{'$oid': '5f96f0a68ba96e254616435d'},2000,Acura,TL,c1083
92,{'$oid': '5f96f0a68ba96e254616435e'},2021,Acura,TLX,c30612
93,{'$oid': '5f96f0a78ba96e254616435f'},2020,Acura,TLX,c29128
94,{'$oid': '5f96f0a78ba96e2546164360'},2019,Acura,TLX,c27710
95,{'$oid': '5f96f0a88ba96e2546164361'},2018,Acura,TLX,c26823
96,{'$oid': '5f96f0a88ba96e2546164362'},2017,Acura,TLX,c26158
97,{'$oid': '5f96f0a88ba96e2546164363'},2016,Acura,TLX,c25313
98,{'$oid': '5f96f0a98ba96e2546164364'},2015,Acura,TLX,c24583
99,{'$oid': '5f96f0a98ba96e2546164365'},2014,Acura,TSX,c24225
100,{'$oid': '5f96f0a98ba96e2546164366'},2013,Acura,TSX,c23591
101,{'$oid': '5f96f0a98ba96e2546164367'},2012,Acura,TSX,c23125
102,{'$oid': '5f96f0aa8ba96e2546164368'},2011,Acura,TSX,c22359
103,{'$oid': '5f96f0aa8ba96e2546164369'},2010,Acura,TSX,c21784
104,{'$oid': '5f96f0aa8ba96e254616436a'},2009,Acura,TSX,c21024
105,{'$oid': '5f96f0ab8ba96e254616436b'},2008,Acura,TSX,c8290
106,{'$oid': '5f96f0ab8ba96e254616436c'},2007,Acura,TSX,c7392
107,{'$oid': '5f96f0ab8ba96e254616436d'},2006,Acura,TSX,c5273
108,{'$oid': '5f96f0ab8ba96e254616436e'},2005,Acura,TSX,c1056
109,{'$oid': '5f96f0ac8ba96e254616436f'},2004,Acura,TSX,c1062
110,{'$oid': '5f96f0ac8ba96e2546164370'},2020,Alfa Romeo,Giulia,c29760
111,{'$oid': '5f96f0ac8ba96e2546164371'},2019,Alfa Romeo,Giulia,c28136
112,{'$oid': '5f96f0ac8ba96e2546164372'},2018,Alfa Romeo,Giulia,c27004
113,{'$oid': '5f96f0ad8ba96e2546164373'},2017,Alfa Romeo,Giulia,c25647
114,{'$oid': '5f96f0ad8ba96e2546164374'},2020,Alfa Romeo,Stelvio,c29749
115,{'$oid': '5f96f0ad8ba96e2546164375'},2019,Alfa Romeo,Stelvio,c28146
116,{'$oid': '5f96f0ad8ba96e2546164376'},2018,Alfa Romeo,Stelvio,c26650
117,{'$oid': '5f96f0ae8ba96e2546164377'},2020,Audi,A3,c29277
118,{'$oid': '5f96f0ae8ba96e2546164378'},2019,Audi,A3,c28510
119,{'$oid': '5f96f0ae8ba96e2546164379'},2018,Audi,A3,c26834
120,{'$oid': '5f96f0ae8ba96e254616437a'},2017,Audi,A3,c26060
121,{'$oid': '5f96f0af8ba96e254616437b'},2016,Audi,A3,c24885
122,{'$oid': '5f96f0af8ba96e254616437c'},2015,Audi,A3,c24325
123,{'$oid': '5f96f0af8ba96e254616437d'},2013,Audi,A3,c23492
124,{'$oid': '5f96f0af8ba96e254616437e'},2012,Audi,A3,c22997
125,{'$oid': '5f96f0b08ba96e254616437f'},2011,Audi,A3,c22425
126,{'$oid': '5f96f0b08ba96e2546164380'},2010,Audi,A3,c21845
127,{'$oid': '5f96f0b08ba96e2546164381'},2009,Audi,A3,c21263
128,{'$oid': '5f96f0b08ba96e2546164382'},2008,Audi,A3,c8365
129,{'$oid': '5f96f0b18ba96e2546164383'},2007,Audi,A3,c7476
130,{'$oid': '5f96f0b18ba96e2546164384'},2006,Audi,A3,c3879
131,{'$oid': '5f96f0b18ba96e2546164385'},2018,Audi,A3 Sportback,c26835
132,{'$oid': '5f96f0b28ba96e2546164386'},2017,Audi,A3 Sportback,c26162
133,{'$oid': '5f96f0b28ba96e2546164387'},2016,Audi,A3 Sportback,c24943
134,{'$oid': '5f96f0b28ba96e2546164388'},2021,Audi,A4,c30578
135,{'$oid': '5f96f0b28ba96e2546164389'},2020,Audi,A4,c29934
136,{'$oid': '5f96f0b38ba96e254616438a'},2019,Audi,A4,c28519
137,{'$oid': '5f96f0b38ba96e254616438b'},2018,Audi,A4,c26836
138,{'$oid': '5f96f0b38ba96e254616438c'},2017,Audi,A4,c25731
139,{'$oid': '5f96f0b38ba96e254616438d'},2016,Audi,A4,c24886
140,{'$oid': '5f96f0b48ba96e254616438e'},2015,Audi,A4,c24428
141,{'$oid': '5f96f0b48ba96e254616438f'},2014,Audi,A4,c23996
142,{'$oid': '5f96f0b48ba96e2546164390'},2013,Audi,A4,c23317
143,{'$oid': '5f96f0b48ba96e2546164391'},2012,Audi,A4,c22998
144,{'$oid': '5f96f0b58ba96e2546164392'},2011,Audi,A4,c22426
145,{'$oid': '5f96f0b58ba96e2546164393'},2010,Audi,A4,c21846
146,{'$oid': '5f96f0b58ba96e2546164394'},2009,Audi,A4,c10424
147,{'$oid': '5f96f0b58ba96e2546164395'},2008,Audi,A4,c8369
148,{'$oid': '5f96f0b68ba96e2546164396'},2007,Audi,A4,c7474
149,{'$oid': '5f96f0b68ba96e2546164397'},2006,Audi,A4,c5274
150,{'$oid': '5f96f0b68ba96e2546164398'},2005,Audi,A4,c81
151,{'$oid': '5f96f0b68ba96e2546164399'},2004,Audi,A4,c323
152,{'$oid': '5f96f0b78ba96e254616439a'},2003,Audi,A4,c329
153,{'$oid': '5f96f0b78ba96e254616439b'},2002,Audi,A4,c337
154,{'$oid': '5f96f0b78ba96e254616439c'},2001,Audi,A4,c345
155,{'$oid': '5f96f0b78ba96e254616439d'},2000,Audi,A4,c352
156,{'$oid': '5f96f0b88ba96e254616439e'},2021,Audi,A4 Allroad,c30619
157,{'$oid': '5f96f0b88ba96e254616439f'},2020,Audi,A4 Allroad,c29842
158,{'$oid': '5f96f0b88ba96e25461643a0'},2019,Audi,A4 Allroad,c28563
159,{'$oid': '5f96f0b98ba96e25461643a1'},2018,Audi,A4 Allroad,c26839
160,{'$oid': '5f96f0b98ba96e25461643a2'},2017,Audi,A4 Allroad,c25746
161,{'$oid': '5f96f0b98ba96e25461643a3'},2016,Audi,A4 Allroad,c25658
162,{'$oid': '5f96f0b98ba96e25461643a4'},2015,Audi,A4 Allroad,c25657
163,{'$oid': '5f96f0ba8ba96e25461643a5'},2014,Audi,A4 Allroad,c25656
164,{'$oid': '5f96f0ba8ba96e25461643a6'},2013,Audi,A4 Allroad,c23341
165,{'$oid': '5f96f0ba8ba96e25461643a7'},2012,Audi,A4 Avant,c22999
166,{'$oid': '5f96f0ba8ba96e25461643a8'},2011,Audi,A4 Avant,c22427
167,{'$oid': '5f96f0bb8ba96e25461643a9'},2010,Audi,A4 Avant,c21847
168,{'$oid': '5f96f0bb8ba96e25461643aa'},2009,Audi,A4 Avant,c21372
169,{'$oid': '5f96f0bb8ba96e25461643ab'},2008,Audi,A4 Avant,c8370
170,{'$oid': '5f96f0bb8ba96e25461643ac'},2007,Audi,A4 Avant,c8184
171,{'$oid': '5f96f0bc8ba96e25461643ad'},2006,Audi,A4 Avant,c8260
172,{'$oid': '5f96f0bc8ba96e25461643ae'},2005,Audi,A4 Avant,c8269
173,{'$oid': '5f96f0bc8ba96e25461643af'},2004,Audi,A4 Avant,c27255
174,{'$oid': '5f96f0bc8ba96e25461643b0'},2003,Audi,A4 Avant,c27254
175,{'$oid': '5f96f0bd8ba96e25461643b1'},2002,Audi,A4 Avant,c27253
176,{'$oid': '5f96f0bd8ba96e25461643b2'},2001,Audi,A4 Avant,c27252
177,{'$oid': '5f96f0bd8ba96e25461643b3'},2021,Audi,A5,c30579
178,{'$oid': '5f96f0be8ba96e25461643b4'},2020,Audi,A5,c29935
179,{'$oid': '5f96f0be8ba96e25461643b5'},2019,Audi,A5,c28571
180,{'$oid': '5f96f0be8ba96e25461643b6'},2018,Audi,A5,c26613
181,{'$oid': '5f96f0be8ba96e25461643b7'},2017,Audi,A5,c25908
182,{'$oid': '5f96f0bf8ba96e25461643b8'},2016,Audi,A5,c24920
183,{'$oid': '5f96f0bf8ba96e25461643b9'},2015,Audi,A5,c24480
184,{'$oid': '5f96f0bf8ba96e25461643ba'},2014,Audi,A5,c24008
185,{'$oid': '5f96f0bf8ba96e25461643bb'},2013,Audi,A5,c23319
186,{'$oid': '5f96f0c08ba96e25461643bc'},2012,Audi,A5,c23000
187,{'$oid': '5f96f0c08ba96e25461643bd'},2011,Audi,A5,c22428
188,{'$oid': '5f96f0c08ba96e25461643be'},2010,Audi,A5,c21848
189,{'$oid': '5f96f0c08ba96e25461643bf'},2009,Audi,A5,c21264
190,{'$oid': '5f96f0c18ba96e25461643c0'},2008,Audi,A5,c8261
191,{'$oid': '5f96f0c18ba96e25461643c1'},2021,Audi,A5 Sportback,c30620
192,{'$oid': '5f96f0c18ba96e25461643c2'},2020,Audi,A5 Sportback,c29957
193,{'$oid': '5f96f0c28ba96e25461643c3'},2019,Audi,A5 Sportback,c28572
194,{'$oid': '5f96f0c28ba96e25461643c4'},2018,Audi,A5 Sportback,c26635
195,{'$oid': '5f96f0c28ba96e25461643c5'},2021,Audi,A6,c30580
196,{'$oid': '5f96f0c28ba96e25461643c6'},2020,Audi,A6,c29349
197,{'$oid': '5f96f0c38ba96e25461643c7'},2019,Audi,A6,c27563
198,{'$oid': '5f96f0c38ba96e25461643c8'},2018,Audi,A6,c26837
199,{'$oid': '5f96f0c38ba96e25461643c9'},2017,Audi,A6,c25914
200,{'$oid': '5f96f0c38ba96e25461643ca'},2016,Audi,A6,c24763
201,{'$oid': '5f96f0c48ba96e25461643cb'},2015,Audi,A6,c24481
202,{'$oid': '5f96f0c48ba96e25461643cc'},2014,Audi,A6,c24009
203,{'$oid': '5f96f0c48ba96e25461643cd'},2013,Audi,A6,c23456
204,{'$oid': '5f96f0c48ba96e25461643ce'},2012,Audi,A6,c23001
205,{'$oid': '5f96f0c58ba96e25461643cf'},2011,Audi,A6,c22441
206,{'$oid': '5f96f0c58ba96e25461643d0'},2010,Audi,A6,c21860
207,{'$oid': '5f96f0c58ba96e25461643d1'},2009,Audi,A6,c21602
208,{'$oid': '5f96f0c58ba96e25461643d2'},2008,Audi,A6,c8704
209,{'$oid': '5f96f0c68ba96e25461643d3'},2007,Audi,A6,c7477
210,{'$oid': '5f96f0c68ba96e25461643d4'},2006,Audi,A6,c5275
211,{'$oid': '5f96f0c68ba96e25461643d5'},2005,Audi,A6,c318
212,{'$oid': '5f96f0c78ba96e25461643d6'},2004,Audi,A6,c324
213,{'$oid': '5f96f0c78ba96e25461643d7'},2003,Audi,A6,c330
214,{'$oid': '5f96f0c78ba96e25461643d8'},2002,Audi,A6,c338
215,{'$oid': '5f96f0c78ba96e25461643d9'},2001,Audi,A6,c346
216,{'$oid': '5f96f0c88ba96e25461643da'},2000,Audi,A6,c353
217,{'$oid': '5f96f0c88ba96e25461643db'},2021,Audi,A6 Allroad,c30621
218,{'$oid': '5f96f0c88ba96e25461643dc'},2020,Audi,A6 Allroad,c29869
219,{'$oid': '5f96f0c88ba96e25461643dd'},2021,Audi,A7,c30581
220,{'$oid': '5f96f0c98ba96e25461643de'},2020,Audi,A7,c29278
221,{'$oid': '5f96f0c98ba96e25461643df'},2019,Audi,A7,c27549
222,{'$oid': '5f96f0c98ba96e25461643e0'},2018,Audi,A7,c26838
223,{'$oid': '5f96f0c98ba96e25461643e1'},2017,Audi,A7,c25920
224,{'$oid': '5f96f0ca8ba96e25461643e2'},2016,Audi,A7,c24764
225,{'$oid': '5f96f0ca8ba96e25461643e3'},2015,Audi,A7,c24482
226,{'$oid': '5f96f0ca8ba96e25461643e4'},2014,Audi,A7,c24016
227,{'$oid': '5f96f0ca8ba96e25461643e5'},2013,Audi,A7,c23429
228,{'$oid': '5f96f0cb8ba96e25461643e6'},2012,Audi,A7,c22933
229,{'$oid': '5f96f0cb8ba96e25461643e7'},2021,Audi,A8,c30582
230,{'$oid': '5f96f0cb8ba96e25461643e8'},2020,Audi,A8,c29279
231,{'$oid': '5f96f0cb8ba96e25461643e9'},2019,Audi,A8,c27550
232,{'$oid': '5f96f0cc8ba96e25461643ea'},2018,Audi,A8,c26840
233,{'$oid': '5f96f0cc8ba96e25461643eb'},2017,Audi,A8,c25921
234,{'$oid': '5f96f0cc8ba96e25461643ec'},2016,Audi,A8,c24921
235,{'$oid': '5f96f0cd8ba96e25461643ed'},2015,Audi,A8,c24391
236,{'$oid': '5f96f0cd8ba96e25461643ee'},2014,Audi,A8,c23861
237,{'$oid': '5f96f0cd8ba96e25461643ef'},2013,Audi,A8,c23250
238,{'$oid': '5f96f0cd8ba96e25461643f0'},2012,Audi,A8,c22856
239,{'$oid': '5f96f0ce8ba96e25461643f1'},2011,Audi,A8,c22213
240,{'$oid': '5f96f0ce8ba96e25461643f2'},2010,Audi,A8,c21918
241,{'$oid': '5f96f0ce8ba96e25461643f3'},2009,Audi,A8,c21305
242,{'$oid': '5f96f0ce8ba96e25461643f4'},2008,Audi,A8,c9088
243,{'$oid': '5f96f0cf8ba96e25461643f5'},2007,Audi,A8,c7473
244,{'$oid': '5f96f0cf8ba96e25461643f6'},2006,Audi,A8,c5276
245,{'$oid': '5f96f0cf8ba96e25461643f7'},2005,Audi,A8,c319
246,{'$oid': '5f96f0cf8ba96e25461643f8'},2004,Audi,A8,c325
247,{'$oid': '5f96f0d08ba96e25461643f9'},2003,Audi,A8,c331
248,{'$oid': '5f96f0d08ba96e25461643fa'},2000,Audi,A8,c354
249,{'$oid': '5f96f0d08ba96e25461643fb'},2020,Audi,A8 Hybrid Plug-In,c30067
250,{'$oid': '5f96f0d08ba96e25461643fc'},2021,Audi,e-tron,c30827
251,{'$oid': '5f96f0d18ba96e25461643fd'},2020,Audi,e-tron,c29884
252,{'$oid': '5f96f0d18ba96e25461643fe'},2019,Audi,e-tron,c28859
253,{'$oid': '5f96f0d18ba96e25461643ff'},2013,BMW,1 Series,c23555
254,{'$oid': '5f96f0d18ba96e2546164400'},2012,BMW,1 Series,c22850
255,{'$oid': '5f96f0d28ba96e2546164401'},2011,BMW,1 Series,c22223
256,{'$oid': '5f96f0d28ba96e2546164402'},2010,BMW,1 Series,c22004
257,{'$oid': '5f96f0d28ba96e2546164403'},2009,BMW,1 Series,c21412
258,{'$oid': '5f96f0d28ba96e2546164404'},2008,BMW,1 Series,c9195
259,{'$oid': '5f96f0d38ba96e2546164405'},2021,BMW,2 Series,c30833
260,{'$oid': '5f96f0d38ba96e2546164406'},2020,BMW,2 Series,c29050
261,{'$oid': '5f96f0d38ba96e2546164407'},2019,BMW,2 Series,c28183
262,{'$oid': '5f96f0d48ba96e2546164408'},2018,BMW,2 Series,c27097
263,{'$oid': '5f96f0d48ba96e2546164409'},2017,BMW,2 Series,c26137
264,{'$oid': '5f96f0d48ba96e254616440a'},2016,BMW,2 Series,c25071
265,{'$oid': '5f96f0d48ba96e254616440b'},2015,BMW,2 Series,c24538
266,{'$oid': '5f96f0d58ba96e254616440c'},2014,BMW,2 Series,c24317
267,{'$oid': '5f96f0d58ba96e254616440d'},2021,BMW,3 Series,c30415
268,{'$oid': '5f96f0d58ba96e254616440e'},2020,BMW,3 Series,c28991
269,{'$oid': '5f96f0d58ba96e254616440f'},2019,BMW,3 Series,c28184
270,{'$oid': '5f96f0d68ba96e2546164410'},2018,BMW,3 Series,c27098
271,{'$oid': '5f96f0d68ba96e2546164411'},2017,BMW,3 Series,c26131
272,{'$oid': '5f96f0d68ba96e2546164412'},2016,BMW,3 Series,c25072
273,{'$oid': '5f96f0d68ba96e2546164413'},2015,BMW,3 Series,c24539
274,{'$oid': '5f96f0d78ba96e2546164414'},2014,BMW,3 Series,c23970
275,{'$oid': '5f96f0d78ba96e2546164415'},2013,BMW,3 Series,c23512
276,{'$oid': '5f96f0d78ba96e2546164416'},2012,BMW,3 Series,c23157
277,{'$oid': '5f96f0d88ba96e2546164417'},2011,BMW,3 Series,c22224
278,{'$oid': '5f96f0d88ba96e2546164418'},2010,BMW,3 Series,c22000
279,{'$oid': '5f96f0d88ba96e2546164419'},2009,BMW,3 Series,c21411
280,{'$oid': '5f96f0d88ba96e254616441a'},2008,BMW,3 Series,c15426
281,{'$oid': '5f96f0d98ba96e254616441b'},2007,BMW,3 Series,c22263
282,{'$oid': '5f96f0d98ba96e254616441c'},2006,BMW,3 Series,c22262
283,{'$oid': '5f96f0d98ba96e254616441d'},2005,BMW,3 Series,c22261
284,{'$oid': '5f96f0d98ba96e254616441e'},2004,BMW,3 Series,c22260
285,{'$oid': '5f96f0da8ba96e254616441f'},2003,BMW,3 Series,c22259
286,{'$oid': '5f96f0da8ba96e2546164420'},2002,BMW,3 Series,c22258
287,{'$oid': '5f96f0da8ba96e2546164421'},2001,BMW,3 Series,c22257
288,{'$oid': '5f96f0db8ba96e2546164422'},2000,BMW,3 Series,c22256
289,{'$oid': '5f96f0db8ba96e2546164423'},2019,BMW,3 Series Gran Turismo,c28185
290,{'$oid': '5f96f0db8ba96e2546164424'},2018,BMW,3 Series Gran Turismo,c27099
291,{'$oid': '5f96f0db8ba96e2546164425'},2017,BMW,3 Series Gran Turismo,c26145
292,{'$oid': '5f96f0dc8ba96e2546164426'},2016,BMW,3 Series Gran Turismo,c25073
293,{'$oid': '5f96f0dc8ba96e2546164427'},2015,BMW,3 Series Gran Turismo,c24573
294,{'$oid': '5f96f0dc8ba96e2546164428'},2014,BMW,3 Series Gran Turismo,c24101
295,{'$oid': '5f96f0dc8ba96e2546164429'},2021,BMW,4 Series,c30666
296,{'$oid': '5f96f0dd8ba96e254616442a'},2020,BMW,4 Series,c29051
297,{'$oid': '5f96f0dd8ba96e254616442b'},2019,BMW,4 Series,c27546
298,{'$oid': '5f96f0dd8ba96e254616442c'},2018,BMW,4 Series,c26653
299,{'$oid': '5f96f0dd8ba96e254616442d'},2017,BMW,4 Series,c26138
300,{'$oid': '5f96f0de8ba96e254616442e'},2016,BMW,4 Series,c25074
301,{'$oid': '5f96f0de8ba96e254616442f'},2015,BMW,4 Series,c24401
302,{'$oid': '5f96f0de8ba96e2546164430'},2014,BMW,4 Series,c24128
303,{'$oid': '5f96f0df8ba96e2546164431'},2021,BMW,5 Series,c30835
304,{'$oid': '5f96f0df8ba96e2546164432'},2020,BMW,5 Series,c29374
305,{'$oid': '5f96f0df8ba96e2546164433'},2019,BMW,5 Series,c28186
306,{'$oid': '5f96f0df8ba96e2546164434'},2018,BMW,5 Series,c26654
307,{'$oid': '5f96f0e08ba96e2546164435'},2017,BMW,5 Series,c26507
308,{'$oid': '5f96f0e08ba96e2546164436'},2016,BMW,5 Series,c25075
309,{'$oid': '5f96f0e18ba96e2546164437'},2015,BMW,5 Series,c24540
310,{'$oid': '5f96f0e18ba96e2546164438'},2014,BMW,5 Series,c24103
311,{'$oid': '5f96f0e18ba96e2546164439'},2013,BMW,5 Series,c23554
312,{'$oid': '5f96f0e28ba96e254616443a'},2012,BMW,5 Series,c23158
313,{'$oid': '5f96f0e28ba96e254616443b'},2011,BMW,5 Series,c22225
314,{'$oid': '5f96f0e28ba96e254616443c'},2010,BMW,5 Series,c21678
315,{'$oid': '5f96f0e28ba96e254616443d'},2009,BMW,5 Series,c21413
316,{'$oid': '5f96f0e38ba96e254616443e'},2008,BMW,5 Series,c22315
317,{'$oid': '5f96f0e38ba96e254616443f'},2007,BMW,5 Series,c16871
318,{'$oid': '5f96f0e38ba96e2546164440'},2006,BMW,5 Series,c22314
319,{'$oid': '5f96f0e38ba96e2546164441'},2005,BMW,5 Series,c22313
320,{'$oid': '5f96f0e48ba96e2546164442'},2004,BMW,5 Series,c22312
321,{'$oid': '5f96f0e48ba96e2546164443'},2003,BMW,5 Series,c22311
322,{'$oid': '5f96f0e48ba96e2546164444'},2002,BMW,5 Series,c22310
323,{'$oid': '5f96f0e48ba96e2546164445'},2001,BMW,5 Series,c22309
324,{'$oid': '5f96f0e58ba96e2546164446'},2000,BMW,5 Series,c22308
325,{'$oid': '5f96f0e58ba96e2546164447'},2017,BMW,5 Series Gran Turismo,c26116
326,{'$oid': '5f96f0e58ba96e2546164448'},2016,BMW,5 Series Gran Turismo,c25084
327,{'$oid': '5f96f0e68ba96e2546164449'},2015,BMW,5 Series Gran Turismo,c24591
328,{'$oid': '5f96f0e68ba96e254616444a'},2014,BMW,5 Series Gran Turismo,c24104
329,{'$oid': '5f96f0e68ba96e254616444b'},2013,BMW,5 Series Gran Turismo,c23654
330,{'$oid': '5f96f0e68ba96e254616444c'},2012,BMW,5 Series Gran Turismo,c23241
